,,,,,,,,
,,,,,,,,
,Panel/Seite:,,1A,1B,2A,2B,,
,Karte:,,3,3,3,3,,
,Kanal:,,0,14,3,7,,
,Spannung:,,1150,1150,1250,1150,,
,Threshold:,,2110,2110,2110,2110,,
,Gain:,,2350,2400,1200,2850,,
,Panel/Seite:,,3A,3B,4A,4B,5A,5B
,Karte:,,6,6,6,6,6,6
,Kanal:,,0,14,3,7,9,23
,Spannung:,,1150,1150,1150,1150,1150,1150
,Threshold:,,2110,2110,2110,2110,2110,2110
,Gain:,,2450,2400,2150,2550,2100,2400
,Panel/Seite:,,6A,6B,7A,7B,8A,8B
,Karte:,,9,9,9,9,9,9
,Kanal:,,0,14,3,7,9,23
,Spannung:,,1150,1150,1150,1150,1050,1100
,Threshold:,,2110,2110,2110,2110,2110,2110
,Gain:,,3400,2100,2400,2500,3950,2900
